,revCd,revNameKor,revNameEng,useYn
0,3,특별한국어능력시험 직무문항,Work related questions in Special EPS-TOPIK,Y
1,2,고용허가제 한국어능력시험 공개문제집 1차 개정판,First Revised edition of EPS-TOPIK Question Book,Y
